,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,,Was Top 25
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes,
60,UCLA,Big Ten,3,9,0.25,3,6,0.333,18.2,33.4,-1.01,9.16,,,,,No
61,Rutgers,Big Ten,5,7,0.417,2,7,0.222,28.7,31.8,2.46,5.46,,,,,No
62,Wisconsin,Big Ten,4,8,0.333,2,7,0.222,12.8,21.6,2.23,9.4,,,,,No
63,Maryland,Big Ten,4,8,0.333,1,8,0.111,23.5,26.5,-0.91,2.09,,,,,No
64,Michigan State,Big Ten,4,8,0.333,1,8,0.111,24.6,29.9,-0.95,4.47,,,,,No
65,Purdue,Big Ten,2,10,0.167,0,9,0,18.8,31.8,-2.58,8.01,,,,,No
66,Kennesaw State,CUSA,10,4,0.714,7,1,0.875,26.7,25.5,-1.34,-4.84,,,,,No
67,Jacksonville State,CUSA,9,5,0.643,7,1,0.875,28.1,25.2,-4.74,-8.02,,,,,No
68,Western Kentucky,CUSA,9,4,0.692,6,2,0.75,29.5,22.8,-2.89,-7.97,,,,,No
69,Louisiana Tech,CUSA,8,5,0.615,5,3,0.625,27.3,20.8,-3.11,-7.03,,,,,No
70,Florida International,CUSA,7,6,0.538,5,3,0.625,28.5,30,-6.68,-6.3,,,,,No
71,Missouri State,CUSA,7,6,0.538,5,3,0.625,25.6,28.8,-5.34,-5.19,,,,,No
72,Delaware,CUSA,7,6,0.538,4,4,0.5,29,31,-8.16,-7.63,,,,,No
73,Liberty,CUSA,4,8,0.333,3,5,0.375,25.6,26.5,-7.33,-5.91,,,,,No
74,New Mexico State,CUSA,4,8,0.333,2,6,0.25,21.6,27.6,-12.4,-7.49,,,,,No
75,Middle Tennessee State,CUSA,3,9,0.25,2,6,0.25,22.4,30.9,-16.28,-8.03,,,,,No
76,Sam Houston,CUSA,2,10,0.167,1,7,0.125,17.8,37.8,-19.94,-5.6,,,,,No
77,UTEP,CUSA,2,10,0.167,1,7,0.125,23.3,30.4,-14.63,-7.21,,,,,No
78,Notre Dame,Ind,10,2,0.833,,,,42,17.6,21.85,5.35,6,6,10,,Yes
79,Connecticut,Ind,9,4,0.692,,,,35.3,27,-1.96,-7.73,,,,,No
80,Washington State,Ind,7,6,0.538,,,,22.5,20.2,4.78,0.7,,,,,No
81,Oregon State,Ind,2,10,0.167,,,,18.2,29.4,-10.51,0.41,,,,,No
82,Western Michigan,MAC,10,4,0.714,7,1,0.875,24.9,17.4,0.46,-5.97,,,,,No
83,Ohio,MAC,9,4,0.692,6,2,0.75,27.8,21.9,-1.71,-7.1,,,,,No
84,Toledo,MAC,8,5,0.615,6,2,0.75,30.8,13.3,3.78,-6.46,,,,,No
85,Miami (OH),MAC,7,7,0.5,6,2,0.75,23.5,21.7,-5.05,-5.62,,,,,No
86,Central Michigan,MAC,7,6,0.538,5,3,0.625,22.5,23.5,-5.84,-6.92,,,,,No
87,Akron,MAC,5,7,0.417,4,4,0.5,22.3,27.4,-12.67,-10.25,,,,,No
88,Buffalo,MAC,5,7,0.417,4,4,0.5,24,23.5,-10.08,-9.33,,,,,No
89,Kent State,MAC,5,7,0.417,4,4,0.5,21.3,33.6,-11.91,-6.08,,,,,No
90,Ball State,MAC,4,8,0.333,3,5,0.375,15.8,29.8,-15.8,-5.97,,,,,No
91,Eastern Michigan,MAC,4,8,0.333,3,5,0.375,24.1,29.8,-13.08,-7.42,,,,,No
92,Bowling Green,MAC,4,8,0.333,2,6,0.25,20.5,24.3,-12.5,-7.67,,,,,No
93,Northern Illinois,MAC,3,9,0.25,2,6,0.25,17.1,24.3,-14.25,-7.08,,,,,No
94,Massachusetts,MAC,0,12,0,0,8,0,11.1,38.6,-26.55,-5.88,,,,,No
95,Boise State,MWC,9,5,0.643,6,2,0.75,29.9,24.1,3.69,-1.1,25,25,,,Yes
96,Nevada-Las Vegas,MWC,10,4,0.714,6,2,0.75,34.1,28,-0.12,-6.05,,,,,No
97,New Mexico,MWC,9,4,0.692,6,2,0.75,27.1,22.3,0.67,-4.64,,,,,No
98,San Diego State,MWC,9,4,0.692,6,2,0.75,26.4,15.4,3.48,-5.06,,,,,No
99,Fresno State,MWC,9,4,0.692,5,3,0.625,25.8,18.8,-0.82,-6.36,,,,,No
100,Hawaii,MWC,9,4,0.692,5,3,0.625,29,24.1,-0.17,-5.71,,,,,No
101,Utah State,MWC,6,7,0.462,4,4,0.5,30.9,28.7,-2.75,-2.06,,,,,No
102,Air Force,MWC,4,8,0.333,3,5,0.375,29.8,30.3,-6.35,-4.18,,,,,No
103,Wyoming,MWC,4,8,0.333,2,6,0.25,16,20.5,-10.09,-4.92,,,,,No
104,Nevada,MWC,3,9,0.25,2,6,0.25,17.6,27.5,-13.55,-3.96,,,,,No
105,San Jose State,MWC,3,9,0.25,2,6,0.25,21.4,32.5,-13.03,-3.78,,,,,No
106,Colorado State,MWC,2,10,0.167,1,7,0.125,18.5,30.8,-12.63,-0.71,,,,,No
107,Georgia,SEC,12,2,0.857,7,1,0.875,32.1,17.6,17.33,4.4,5,2,6,,Yes
108,Ole Miss,SEC,13,2,0.867,7,1,0.875,36.9,21.1,16.2,4.93,21,3,3,,Yes
109,Texas A&M,SEC,11,2,0.846,7,1,0.875,33.8,21,17.62,5.39,19,3,8,,Yes
110,Alabama,SEC,11,4,0.733,7,1,0.875,29.5,19.2,13.3,7.44,8,4,9,,Yes
111,Oklahoma,SEC,10,3,0.769,6,2,0.75,26.2,15.5,13.18,5.02,18,5,13,,Yes
112,Texas,SEC,10,3,0.769,6,2,0.75,30.5,20.3,12.48,4.55,1,1,12,,Yes
113,Vanderbilt,SEC,10,3,0.769,6,2,0.75,38.5,22.8,14.67,2.97,,9,15,,Yes
114,Missouri,SEC,8,5,0.615,4,4,0.5,30.2,18.9,8.96,2.65,,14,,,Yes
115,Tennessee,SEC,8,5,0.615,4,4,0.5,39.8,28.8,9.08,2.31,24,11,,,Yes
116,LSU,SEC,7,6,0.538,3,5,0.375,22.8,19.8,7,5.62,9,3,,,Yes
117,Kentucky,SEC,5,7,0.417,2,6,0.25,23,26.4,2.06,5.39,,,,,No
118,Florida,SEC,4,8,0.333,2,6,0.25,21.6,24,3.79,8.46,15,13,,,Yes
119,Auburn,SEC,5,7,0.417,1,7,0.125,26.8,20.7,6.84,3.92,,22,,,Yes
120,Mississippi State,SEC,5,8,0.385,1,7,0.125,30.4,30.2,1.84,4.84,,,,,No
121,South Carolina,SEC,4,8,0.333,1,7,0.125,22.7,22.1,3.92,5.84,13,10,,,Yes
122,Arkansas,SEC,2,10,0.167,0,8,0,32.9,33.8,2.18,6.85,,,,,No
123,James Madison,Sun Belt (East),12,2,0.857,8,0,1,37.1,18.4,10.6,-2.55,,19,19,,Yes
124,Old Dominion,Sun Belt (East),10,3,0.769,6,2,0.75,32,18.5,6.87,-3.14,,,,,No
125,Coastal Carolina,Sun Belt (East),6,7,0.462,5,3,0.625,22.2,33.1,-7.02,-3.02,,,,,No
126,Georgia Southern,Sun Belt (East),7,6,0.538,4,4,0.5,27.9,32.3,-5.44,-3.52,,,,,No
127,Marshall,Sun Belt (East),5,7,0.417,3,5,0.375,30.8,30.3,-4.05,-4.05,,,,,No
128,Appalachian State,Sun Belt (East),5,8,0.385,2,6,0.25,24.2,29.8,-9.21,-5.59,,,,,No
129,Georgia State,Sun Belt (East),1,11,0.083,0,8,0,19.8,37.8,-13.77,-0.44,,,,,No
130,Troy,Sun Belt (West),8,6,0.571,6,2,0.75,23.5,23.9,-4.02,-4.24,,,,,No
131,Arkansas State,Sun Belt (West),7,6,0.538,5,3,0.625,25.2,27.4,-4.98,-5.28,,,,,No
132,Southern Mississippi,Sun Belt (West),7,6,0.538,5,3,0.625,28.8,27.4,-4.64,-6.33,,,,,No
133,Louisiana,Sun Belt (West),6,7,0.462,5,3,0.625,26,29.2,-6.94,-5.55,,,,,No
134,Texas State,Sun Belt (West),7,6,0.538,3,5,0.375,36.5,29,0.2,-5.34,,,,,No
135,South Alabama,Sun Belt (West),4,8,0.333,3,5,0.375,26.5,30.4,-9.12,-4.29,,,,,No
136,Louisiana-Monroe,Sun Belt (West),3,9,0.25,1,7,0.125,16.6,31.9,-14.36,-3.78,,,,,No
