"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS016836","OH0850300ALPR","Wooster","Wayne County","OH","Wooster Police Department","Police","The Wooster Police Department operates 18 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016837","OH0840100ALPR","Belpre","Washington County","OH","Belpre Police Department","Police","The Belpre Police Department operates three Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016838","OH0830500ALPR","Morrow","Warren County","OH","Morrow Police Department","Police","The Morrow Police Department operates eight Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016839","OH0780800ALPR","Cortland","Trumbull County","OH","Cortland Police Department","Police","The Cortland Police Department operates 10 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016840","OH0771400ALPR","Twinsburg","Summit County","OH","Twinsburg Police Department","Police","The Twinsburg Police Department operates 12 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016841","OH0770400ALPR","Fairlawn","Summit County","OH","Fairlawn Police Department","Police","The Fairlawn Police Department operates seven Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016842","OH0770300ALPR","Cuyahoga Falls","Summit County","OH","Cuyahoga Falls Police Department","Police","The Cuyahoga Falls Police Department operates 26 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016843","OH0770200ALPR","Barberton","Summit County","OH","Barberton Police Department","Police","The Barberton Police Department operates 17 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016844","OH0770000ALPR","Akron","Summit County","OH","Summit County Sheriff's Office","Sheriff","The Summit County Sheriff's Office operates 14 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016845","OH0761100ALPR","North Canton","Stark County","OH","North Canton Police Department","Police","The North Canton Police Department operates five Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016846","OH0760700ALPR","Louisville","Stark County","OH","Louisville Police Department","Police","The Louisville Police Department operates eight Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016847","OH0750400ALPR","Fort Loramie","Shelby County","OH","Fort Loramie Police Department","Police","The Fort Loramie Police Department operates six Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016848","OH0720000ALPR","Fremont","Sandusky County","OH","Sandusky County Sheriff's Office","Sheriff","The Sandusky County Sheriff's Office operates six Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016849","OH0710100ALPR","Chillicothe","Ross County","OH","Chillicothe Police Department","Police","The Chillicothe Police Department operates 11 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016850","OH0680700ALPR","New Paris","Preble County","OH","New Paris Police Department","Police","The New Paris Police Department operates two Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016851","OH0680100ALPR","Eaton","Preble County","OH","Eaton Police Department","Police","The Eaton Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016852","OH0620400ALPR","Elmore","Ottawa County","OH","Elmore Police Department","Police","The Elmore Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016853","OH0573200ALPR","Hanceville","Cullman County","AL","Wallace State Community College Police Department","Police","The Wallace State Community College Police Department operates four Flock Safety automated license plate readers as of September 2025.","University","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016854","OH0572400ALPR","Dayton","Montgomery County","OH","Butler Township Police Department","Police","The Butler Township Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016855","OH0572300ALPR","Union","Montgomery County","OH","Union Police Department","Police","The Union Police Department operates 20 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016856","OH0572200ALPR","Riverside","Montgomery County","OH","Riverside Police Department","Police","The Riverside Police Department operates 21 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016857","OH0571800ALPR","Englewood","Montgomery County","OH","Englewood Police Department","Police","The Englewood Police Department operates 11 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016858","OH0571400ALPR","Huber Heights","Montgomery County","OH","Huber Heights Police Department","Police","The Huber Heights Police Department operates 10 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016859","OH0571000ALPR","Dayton","Montgomery County","OH","Oakwood Police Department","Police","The Oakwood Police Department operates four Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016860","OH0570900ALPR","Moraine","Montgomery County","OH","Moraine Police Department","Police","The Moraine Police Department operates 11 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016861","OH0570800ALPR","Miamisburg","Montgomery County","OH","Miamisburg Police Department","Police","The Miamisburg Police Department operates 12 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016862","OH0570300ALPR","Germantown","Montgomery County","OH","Germantown Police Department","Police","The Germantown Police Department operates three Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016863","OH0570000ALPR","Dayton","Montgomery County","OH","Montgomery County Sheriff's Office","Sheriff","The Montgomery County Sheriff's Office operates 41 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016864","OH0540000ALPR","Celina","Mercer County","OH","Mercer County Sheriff's Office","Sheriff","The Mercer County Sheriff's Office operates 10 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
