72,Fire Emblem Heroes,iOS,"Feb 2, 2017",7.3,/game/ios/fire-emblem-heroes,T,"['Nintendo', ' Intelligent Systems']","['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'Tactics']"
85,Dragon Quest VIII: Journey of the Cursed King,3DS,"Jan 20, 2017",8.6,/game/3ds/dragon-quest-viii-journey-of-the-cursed-king,T,['Cygames'],"['Role-Playing', 'Japanese-Style']"
76,Super Mario Run,iOS,"Dec 15, 2016",6.3,/game/ios/super-mario-run,,['Nintendo'],"['Action', 'Platformer', '2D']"
,Excitebots: Trick Racing,WIIU,"Dec 15, 2016",,/game/wii-u/excitebots-trick-racing,,['Nintendo'],"['Racing', 'Arcade', 'Automobile']"
,Animal Crossing: New Leaf - Welcome Amiibo,3DS,"Dec 5, 2016",7.6,/game/3ds/animal-crossing-new-leaf---welcome-amiibo,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
73,Super Mario Maker for Nintendo 3DS,3DS,"Dec 2, 2016",6.4,/game/3ds/super-mario-maker-for-nintendo-3ds,E,['Nintendo'],"['Action', 'Platformer', '2D']"
87,Pokemon Sun,3DS,"Nov 18, 2016",7.7,/game/3ds/pokemon-sun,E,['Game Freak'],"['Role-Playing', 'Trainer']"
87,Pokemon Moon,3DS,"Nov 18, 2016",7.7,/game/3ds/pokemon-moon,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Pokemon Sun and Moon Dual Pack,3DS,"Nov 18, 2016",5.1,/game/3ds/pokemon-sun-and-moon-dual-pack,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Swapdoodle,3DS,"Nov 17, 2016",,/game/3ds/swapdoodle,E,['Nintendo'],"['Miscellaneous', 'Application']"
68,Mario Party: Star Rush,3DS,"Nov 4, 2016",6.9,/game/3ds/mario-party-star-rush,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
,Hyrule Warriors Legends: A Link Between Worlds Pack,3DS,"Oct 31, 2016",,/game/3ds/hyrule-warriors-legends-a-link-between-worlds-pack,,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
,Pokemon Sun and Pokemon Moon Special Demo Version,3DS,"Oct 18, 2016",5.3,/game/3ds/pokemon-sun-and-pokemon-moon-special-demo-version,,['Game Freak'],"['Role-Playing', 'Trainer']"
73,Disney Magical World 2,3DS,"Oct 14, 2016",5.5,/game/3ds/disney-magical-world-2,E,['Bandai Namco Games'],"['Simulation', 'Virtual', 'Virtual Life']"
76,Paper Mario: Color Splash,WIIU,"Oct 7, 2016",7.1,/game/wii-u/paper-mario-color-splash,E,"['Nintendo', ' Intelligent Systems']","['Role-Playing', 'Japanese-Style']"
72,Yo-kai Watch 2: Bony Spirits,3DS,"Sep 30, 2016",7.8,/game/3ds/yo-kai-watch-2-bony-spirits,E10+,['Level 5'],"['Role-Playing', 'Trainer']"
