Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"R. Lusk, SWOSU ",SWOSU ,0.288,22-20 ,22,20 ,52,7,15,4,0,0,4,19,0.365,10,1,15,0,0.413,0,0,2-2 
"McAlexander, SAU ",SAU ,0.288,24-21 ,24,21 ,59,10,17,2,1,0,9,21,0.356,4,1,17,0,0.344,0,2,1-1 
"J. De Hart, HSU ",HSU ,0.286,36-35 ,36,35 ,77,12,22,3,0,2,13,31,0.403,11,1,13,1,0.382,0,1,1-1 
"C. Sarver, SOSU ",SOSU ,0.286,27-22 ,27,22 ,63,7,18,5,0,1,11,26,0.413,3,0,12,0,0.318,0,2,1-1 
"A. Haessly, SNU ",SNU ,0.286,17-4 ,17,4 ,14,2,4,2,0,0,3,6,0.429,0,0,2,1,0.286,0,3,1-1 
"Stott, Jaciee, ECU ","Jaciee, ECU ",0.286,32-4 ,32,4 ,14,9,4,0,0,0,2,4,0.286,2,0,4,0,0.375,0,0,2-3 
"K. Corn, NWOSU ",NWOSU ,0.28,10-7 ,10,7 ,25,2,7,1,1,0,3,10,0.4,1,0,3,1,0.296,1,0,0-0 
"E. Simmons, SOSU ",SOSU ,0.278,30-23 ,30,23 ,79,13,22,4,0,6,20,44,0.557,13,0,11,0,0.376,1,0,0-0 
"J. Merrett, OUA ",OUA ,0.275,38-25 ,38,25 ,80,4,22,4,0,0,13,26,0.325,3,0,11,1,0.298,1,1,2-2 
"R. Carey, HSU ",HSU ,0.273,19-14 ,19,14 ,33,5,9,3,0,0,4,12,0.364,0,0,7,0,0.273,0,2,1-1 
"Riley Drake, ATU ",ATU ,0.273,12-6 ,12,6 ,22,0,6,3,0,0,4,9,0.409,1,1,9,0,0.333,0,0,0-0 
"Dani Lindsey, ATU ",ATU ,0.265,26-24 ,26,24 ,68,8,18,6,2,0,12,28,0.412,8,3,13,0,0.358,2,0,2-2 
"A. Low, NWOSU ",NWOSU ,0.264,34-21 ,34,21 ,53,10,14,1,0,0,3,15,0.283,4,0,19,0,0.316,0,1,2-2 
"Lillee Mahan, ATU ",ATU ,0.263,38-23 ,38,23 ,80,16,21,4,1,1,5,30,0.375,4,1,18,0,0.306,0,5,5-6 
"L. Danielson, HU ",HU ,0.261,37-17 ,37,17 ,69,6,18,2,2,1,15,27,0.391,1,0,14,0,0.271,0,3,2-3 
"K. Walker, UAM ",UAM ,0.261,26-15 ,26,15 ,46,9,12,3,1,1,6,20,0.435,4,1,18,0,0.333,0,2,4-4 
"Sharlee Jackson, ATU ",ATU ,0.261,12-9 ,12,9 ,23,0,6,0,0,0,1,6,0.261,2,0,2,0,0.32,0,3,0-0 
"T. Melton, OUA ",OUA ,0.261,13-10 ,13,10 ,23,0,6,0,0,0,1,6,0.261,3,0,10,0,0.346,0,1,0-0 
"E. Apodaca, UAM ",UAM ,0.258,38-21 ,38,21 ,62,16,16,4,0,1,4,23,0.371,7,1,16,0,0.343,0,2,6-7 
"M. Stewart, SNU ",SNU ,0.256,30-9 ,30,9 ,43,3,11,3,0,1,11,17,0.395,4,0,6,0,0.313,1,1,0-0 
"Aidan Gorton, ATU ",ATU ,0.255,27-18 ,27,18 ,55,4,14,1,0,1,15,18,0.327,6,1,8,3,0.323,3,1,0-0 
"Bingham, Emily, ECU ","Emily, ECU ",0.255,29-22 ,29,22 ,55,7,14,1,0,1,4,18,0.327,12,0,14,0,0.388,0,3,0-0 
"I. Olivares, SOSU ",SOSU ,0.25,34-14 ,34,14 ,60,4,15,3,0,0,8,18,0.3,5,0,6,1,0.308,0,0,0-1 
"E. Scales, OUA ",OUA ,0.25,19-15 ,19,15 ,36,3,9,0,0,1,4,12,0.333,4,1,13,0,0.341,0,3,1-1 
"Power, Jacey, ECU ","Jacey, ECU ",0.25,11-7 ,11,7 ,24,5,6,0,0,0,2,6,0.25,7,2,5,0,0.455,0,1,0-0 
"Bordwine, OKB ",OKB ,0.25,7-0 ,7,0 ,4,1,1,0,0,1,3,4,1,2,0,0,0,0.5,0,0,0-0 
"T. Davis, UAM ",UAM ,0.25,24-1 ,24,1 ,4,2,1,0,0,0,0,1,0.25,2,0,3,0,0.5,0,0,0-0 
