Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"J. Marwitz, SOSU ",SOSU ,0,3-0 ,3,0 ,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"R. Lance, SOSU ",SOSU ,0,3-0 ,3,0 ,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"L. Miller, HSU ",HSU ,0,3-0 ,3,0 ,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"E.Bonvillain, OUA ",OUA ,0,4-2 ,4,2 ,2,0,0,0,0,0,0,0,0,1,0,1,0,0.333,0,0,0-0 
"B. Jones, HSU ",HSU ,0,11-0 ,11,0 ,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1 
"E. Duniven, SAU ",SAU ,0,14-0 ,14,0 ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"J. Worthingt, SNU ",SNU ,0,1-0 ,1,0 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"N. Dodson, SNU ",SNU ,0,34-0 ,34,0 ,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-8 
"M. Southerla, SNU ",SNU ,0,1-0 ,1,0 ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0 
"J. Rios, SOSU ",SOSU ,0,1-0 ,1,0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"N. Rector, SAU ",SAU ,0,3-0 ,3,0 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"M. Geeslin, SOSU ",SOSU ,0,1-0 ,1,0 ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-0 
"HerrNeckar, Lauren, ECU ","Lauren, ECU ",0,2-0 ,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"O'Brien, Taryn, ECU ","Taryn, ECU ",0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Lillian Sapp, ATU ",ATU ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Lexi Gunter, ATU ",ATU ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"L. Bratcher, SWOSU ",SWOSU ,0,2-0 ,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"C. Hill, SWOSU ",SWOSU ,0,1-1 ,1,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"A. Walsworth, SOSU ",SOSU ,0,3-3 ,3,3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"K. Jones, NWOSU ",NWOSU ,0,2-2 ,2,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Jaycee McKee, ATU ",ATU ,0,1-1 ,1,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"E. Mosley, HSU ",HSU ,0,2-1 ,2,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Garner, Amera, ECU ","Amera, ECU ",0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Addy Ward, ATU ",ATU ,0,2-0 ,2,0 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"\, OKB ",OKB ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"K. Batchelor, OUA ",OUA ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"J. Galindo, OUA ",OUA ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"C. Simms, SAU ",SAU ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"M. Pogue, SAU ",SAU ,0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
"Brooklyn Haney, ATU ",ATU ,0,32-0 ,32,0 ,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-5 
"Belen Sanchez, ATU ",ATU ,0,18-0 ,18,0 ,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-1 
"I. Caro, NWOSU ",NWOSU ,0,2-2 ,2,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"Ava Dunn, SAU ",SAU ,0,34-0 ,34,0 ,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-3 
"Spence, Taylor, ECU ","Taylor, ECU ",0,1-0 ,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
"F. Kelley, SWOSU ",SWOSU ,0,16-0 ,16,0 ,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1 
"K. Brand, SNU ",SNU ,0,13-0 ,13,0 ,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2 
"S. Philips, HU ",HU ,0,2-0 ,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0 
