Year,Winner,Breed,Group,Owner,Times Dog Won,Times Breed Won,Times Group Won,Times Owner Won
2000,Ch. Salilyn 'N Erin's Shameless,Spaniel (English Springer),Sporting,"C. Blain, F. Sunseri, J. Gasow",1,6,20,1
2001,Ch. Special Times Just Right,Bichon Frise,Non-Sporting,"C. Ruggles, E. McDonald, F. Werneck",1,1,10,1
2002,Ch. Surrey Spice Girl,Poodle (Miniature),Non-Sporting,"Ron L. Scott, Barbara Scott",1,3,10,1
2003,Ch. Torums Scarf Michael,Kerry Blue Terrier,Terrier,Marilu Hansen,1,1,46,1
2004,Ch. Darbydale's All Rise Pouch Cove,Newfoundland,Working,"Peggy Helming, Carol Bernard Bergmann",1,2,15,1
2005,Ch. Kan-Point's VJK Autumn Roses,Pointer (German Shorthaired),Sporting,"L. & R. Stark, C. Cronk, V. Nunes-Atkinson",1,3,20,1
2006,Ch. Rocky Top's Sundance Kid,Bull Terrier (Colored),Terrier,"Barbara Bishop, W. F. Poole, N. Shepherd, R. P. Pool",1,1,46,1
2007,Ch. Felicity's Diamond Jim,Spaniel (English Springer),Sporting,"Teresa Patton, Allen Patton, R. Dehmel, D. Hadsall",1,6,20,1
2008,Ch. K-Run's Park Me In First,Beagle (15 Inch),Hound,"Caroline Dowell, Eddie Dziuk, Jon Woodring, Kathy Weich",1,2,6,1
2009,Ch. Clussexx Three D Grinchy Glee,Sussex Spaniel,Sporting,"Cecilla Ruggles, Beth Dowd, Scott Sommer",1,1,20,1
2010,Ch. Roundtown Mercedes of Maryscot,Scottish Terrier,Terrier,Amelia and Dan Musser,1,8,46,1
2011,GCH Foxcliffe Hickory Wind,Scottish Deerhound,Hound,"Sally Sweatt, Cecilia L. Dove, and Dr. R. Scott Dove",1,1,6,1
2012,GCH Palacegarden Malachy,Pekingese,Toy,"Iris Love, S. Middlebrooks and D. Fitzpatrick",1,4,11,1
2013,GCH Banana Joe V Tani Kazari,Affenpinscher,Toy,Mieke Cooijmans,1,1,11,1
2014,GCH Afterall Painting The Sky,Fox Terrier (Wire),Terrier,"Victor Malzoni Jr., Torie Steele, S & M Olund & D Ryan",1,14,46,1
2015,Ch. Tashtins Lookin For Trouble,Beagle (15 Inch),Hound,Eddie Dziuk & Lori Crandlemire & Kaitlyn Crandlemire,1,2,6,1
2016,GCH Vjk-Myst Garbonita's California Journey,Pointer (German Shorthaired),Sporting,Valerie Atkinson & Alice Manning & Yvonne Hassler-Deterding,1,3,20,1
2017,Lockenhaus' Rumor Has It V Kenlyn,German Shepherd,Herding,Kent Boyles,1,1,2,1
